Product_name;brand;category;sub_category;description
Dell Kids Tablet;Dell;Tablet;Kids Tablet;The Dell Kids Tablet is designed for users who need with fast charging support and with advanced noise cancellation. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the tablet market.
Dell Classic Watch Style;Dell;Smartwatch;Classic Watch Style;The Dell Classic Watch Style is designed for users who need with high storage capacity and with fast charging support. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the smartwatch market.
Lenovo Ultrabook;Lenovo;Laptop;Ultrabook;The Lenovo Ultrabook is designed for users who need with advanced noise cancellation and featuring long battery life. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the laptop market.
Samsung Mesh Router;Samsung;Router;Mesh Router;The Samsung Mesh Router is designed for users who need with advanced noise cancellation and with water-resistant body. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
Samsung Mirrorless;Samsung;Camera;Mirrorless;The Samsung Mirrorless is designed for users who need with advanced noise cancellation and featuring ultra-slim design. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the camera market.
Acer iPad;Acer;Tablet;iPad;The Acer iPad is designed for users who need with high storage capacity and featuring long battery life. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the tablet market.
HP iPhone;HP;Smartphone;iPhone;The HP iPhone is designed for users who need featuring long battery life and featuring lightweight build. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the smartphone market.
Bose Gaming Router;Bose;Router;Gaming Router;The Bose Gaming Router is designed for users who need with water-resistant body and with high-resolution display. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
Lenovo Mesh Router;Lenovo;Router;Mesh Router;The Lenovo Mesh Router is designed for users who need with high storage capacity and featuring lightweight build. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
LG Budget Phone;LG;Smartphone;Budget Phone;The LG Budget Phone is designed for users who need featuring long battery life and featuring ultra-slim design. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the smartphone market.
Dell Budget Phone;Dell;Smartphone;Budget Phone;The Dell Budget Phone is designed for users who need with advanced noise cancellation and with water-resistant body. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the smartphone market.
Lenovo Compact Camera;Lenovo;Camera;Compact Camera;The Lenovo Compact Camera is designed for users who need with wireless connectivity and with high storage capacity. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the camera market.
Bose Mesh Router;Bose;Router;Mesh Router;The Bose Mesh Router is designed for users who need featuring ultra-slim design and featuring long battery life. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
Acer Mesh Router;Acer;Router;Mesh Router;The Acer Mesh Router is designed for users who need featuring long battery life and featuring lightweight build. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
LG iPhone;LG;Smartphone;iPhone;The LG iPhone is designed for users who need with water-resistant body and featuring lightweight build. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the smartphone market.
Bose Mesh Router;Bose;Router;Mesh Router;The Bose Mesh Router is designed for users who need featuring ultra-slim design and with high storage capacity. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the router market.
Lenovo Action Camera;Lenovo;Camera;Action Camera;The Lenovo Action Camera is designed for users who need featuring lightweight build and featuring ultra-slim design. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the camera market.
Apple All-in-One Printer;Apple;Printer;All-in-One Printer;The Apple All-in-One Printer is designed for users who need featuring lightweight build and featuring ultra-slim design. It offers reliable performance, sleek design, and cutting-edge technology that makes it a great option in the printer market.
